shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold,revenue,kelas
Lenovo Official,Lenovo Thinkpad E14 - i7-10510U -8GB-512SSD-Win10 Pro,https://images.tokopedia.net/img/VqbcmM/2020/12/11/202b59b2-fd9b-4e2a-9435-4992b0b0a6f1.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkpad-e14-i7-10510u-8gb-512ssd-win10-pro,1,0,16999000,5.0,2,33998000,Atas
Lenovo Official,LENOVO Ideapad Flex 5 - i71165G7/16 GB/512 GB SSD/Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2020/12/11/20680ca3-d510-4c10-b457-bd404259be92.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-i71165g7-16-gb-512-gb-ssd-win10-ohs-graphite-grey,16,12,15999000,4.9,23,367977000,Atas
Lenovo Official,LENOVO Ideapad Flex 5 - i51135G7/8 GB/512 SSD/Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2020/12/7/9bbf4487-7b14-4d76-87ce-e80ad61cc211.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-i51135g7-8-gb-512-ssd-win10-ohs-abbys-blue,14,2,12999000,5.0,19,246981000,Atas
Lenovo Official,Lenovo Yoga Slim 7 14ARE05 Ryzen 5 4500U 16GB 512 SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/8/0f0b8f30-7456-4e4d-b4b2-9217d1b92a24.jpg,https://www.tokopedia.com/lenovo-official/lenovo-yoga-slim-7-14are05-ryzen-5-4500u-16gb-512-ssd-win10-ohs-slate-grey,32,34,13299000,4.9,49,651651000,Atas
Lenovo Official,Lenovo ThinkBook 14 IIL Core i7-1065G7 16 GB 512 SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/1/10/a0c08ad6-bd5c-44d4-9640-4c2cb471ab8b.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i7-1065g7-16-gb-512-ssd-win10-ohs,4,9,14099000,5.0,17,239683000,Atas
Lenovo Official,Lenovo Legion T5 28IMB05 Core i7-10700 GeForce RTX 2070 SUPER 8GB,https://images.tokopedia.net/img/VqbcmM/2020/12/25/7fba8bbe-bd78-4de0-ba4d-6164dd70de50.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-t5-28imb05-core-i7-10700-geforce-rtx-2070-super-8gb,0,1,29499000,-,1,29499000,Atas
Lenovo Official,Lenovo ThinkBook 14 IIL Intel Core i5-1035G1 8 GB 512 SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2020/11/20/6875d512-2c4c-49b8-b813-1d8d83f9c651.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-intel-core-i5-1035g1-8-gb-512-ssd-win10-ohs,5,4,11065000,5.0,10,110650000,Menengah
Lenovo Official,Lenovo ThinkBook 14 IIL Core i3-1005G1 4GB 256 SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2020/11/20/23582bf3-edcf-4df8-893f-266cf7fa49ce.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i3-1005g1-4gb-256-ssd-win10-ohs,2,0,8315000,5.0,3,24945000,Menengah
Lenovo Official,Lenovo ThinkBook 14s IML Core i7-10710U 16GB 512GB SSD VGA Win10 Pro,https://images.tokopedia.net/img/VqbcmM/2020/11/17/478485c4-742d-4f2b-b3b4-405628bab209.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14s-iml-core-i7-10710u-16gb-512gb-ssd-vga-win10-pro,3,1,16839000,5.0,4,67356000,Atas
Lenovo Official,Lenovo ThinkBook 14 IIL Core i7-1065G7 16GB 512GB SSD Win10Pro,https://images.tokopedia.net/img/VqbcmM/2020/11/6/56947f47-fe8b-4334-80cc-b802a0f3757a.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i7-1065g7-16gb-512gb-ssd-win10pro,5,7,15735000,5.0,5,78675000,Atas
Lenovo Official,Lenovo IdeaPad Flex 5 14ARE05 AMD Ryzen 3 4300U 8GB 512SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/24/6784cdba-46ef-47dd-8ba4-4ae561300ecd.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-14are05-amd-ryzen-3-4300u-8gb-512ssd-win10-ohs-graphite-grey,18,16,9499000,5.0,26,246974000,Menengah
Lenovo Official,Lenovo IdeaPad 5 14ARE05 Ryzen 5 4500U 8GB 512GB SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/2/19/55de6089-2774-4a85-90d1-b537fbafc222.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-5-14are05-ryzen-5-4500u-8gb-512gb-ssd-win10-ohs-graphite-grey,51,49,9499000,5.0,75,712425000,Menengah
Lenovo Official,Lenovo V145-14AST AMD A4-9125 4GB 1TB HDD Win10,https://images.tokopedia.net/img/product-1/2020/10/4/21842492/21842492_32ebc198-1a2c-49d2-959f-797a7e903acb_1000_1000,https://www.tokopedia.com/lenovo-official/lenovo-v145-14ast-amd-a4-9125-4gb-1tb-hdd-win10,9,5,3999000,5.0,18,71982000,Bawah
Lenovo Official,Lenovo ThinkBook 14 IIL Core i5-1035G1 8GB 512GB SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2020/10/12/19f51a57-9dda-4277-be7c-327b5db5753b.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i5-1035g1-8gb-512gb-ssd-win10-ohs-8-gb,14,6,11069000,5.0,25,276725000,Menengah
